population;name;coord_X;coord_Y
50108;Jihlava;669143.092900001;1130100.747
168733;Plzeò;822399.999600001;1069669.9976
19261;Otrokovice;530778.517299999;1166087.4958
34222;Tøinec;444150.2291;1121357.4034
15398;Klášterec nad Ohøí;826264.999299999;997404.998799998
16105;Pelhøimov;695096.333299998;1122975.0274
23002;Chrudim;647113.717799999;1070575.1331
88520;Pardubice;647075.537300002;1060786.201
90596;Hradec Králové;641028.446800001;1042392.7423
23101;Havlíèkùv Brod;667082.32;1106711.5558
20994;Žïár nad Sázavou;641840.996100001;1114676.0004
11536;Velké Meziøíèí;639259.0189;1138198.0227
10063;Nové Mìsto na Moravì;632139.926399998;1115938.4895
16610;Svitavy;601418.188200001;1097629.141
10196;Moravská Tøebová;587409.221099999;1098933.284
14464;Èeská Tøebová;601193.046599999;1081322.961
11081;Ústí nad Orlicí;604101.556400001;1072989.0454
11711;Vysoké Mýto;620931.995999999;1073365.9972
10835;Humpolec;683819.539000001;1111951.0003
34415;Tøebíè;650504.002700001;1152591.999
20011;Náchod;615047.478700001;1022177.3863
15485;Jièín;671975.528900001;1013096.2258
12599;Vrchlabí;651239.312100001;994344.161600001
18588;Trutnov;630775.2183;1004211.2902
14938;Dvùr Králové nad Labem;639437.997000001;1017626.9935
10393;Rychnov nad Knìžnou;610252.9989;1051109.9971
14334;Turnov;683548.928800002;994776.063099999
102951;Liberec;687904.001200002;973708.9921
44588;Jablonec nad Nisou;680666.748799998;979815.1906
36740;Èeská Lípa;725601.636300001;978110.962099999
11693;Nový Bor;723260.001800001;970420.993000001
90378;Ústí nad Labem;760950.412599999;976127.489599999
48766;Teplice;776220.002099998;976134.995700002
15886;Bílina;781187.935400002;985757.875599999
62866;Most;791642.000799999;989313.9969
18224;Litvínov;791802.9965;978305.998799998
19266;Žatec;800860.902100001;1007713.8199
19453;Louny;782703.893300001;1007042.1911
16975;Kadaò;819392.433200002;999422.349100001
20239;Jirkov;804918.9991;987688.994399998
46263;Chomutov;807664.880399998;991707.779300001
15808;Varnsdorf;716493.309;953986.935199998
10193;Rumburk;720258.9958;949059.994399998
47029;Dìèín;746700.000500001;964428.994899999
12253;Roudnice nad Labem;748914.0024;1004202.9969
24879;Litomìøice;756361.8803;990964.737
26954;Kromìøíž;540137.698199999;1155173.2092
10669;Holešov;526323.0812;1152561.3052
14597;Uherský Brod;524638.541299999;1187169.7809
28785;Vsetín;496059.000999998;1154770.0022
25413;Valašské Meziøíèí;496515.3741;1139920.1365
17845;Rožnov pod Radhoštìm;484267.0;1142438.0021
72973;Zlín;521064.2753;1165005.3994
14527;Mariánské Láznì;866400.983399998;1037319.0414
30420;Cheb;888055.177200001;1021901.3383
11632;Aš;898190.614100002;1004164.9461
16885;Ostrov;843943.000799999;1003481.9953
45500;Karlovy Vary;850106.263099998;1011015.7321
24916;Sokolov;867188.9989;1013801.0015
14485;Chodov;858498.829399999;1008724.2988
93426;Èeské Budìjovice;755831.9989;1166134.9972
13028;Èeský Krumlov;769891.739999998;1182616.5414
21460;Jindøichùv Hradec;715013.9135;1152548.1712
29814;Písek;774307.828200001;1126035.4117
10917;Prachatice;789778.069600001;1157093.1714
22888;Strakonice;792722.4815;1128762.6431
33410;Tábor;735944.678599998;1119517.4519
10838;Jeseník;543452.9991;1050768.9969
13579;Šternberk;542219.9956;1106661.0013
11077;Unièov;554495.998300001;1100908.9995
99496;Olomouc;547147.330400001;1121445.1415
43055;Prostìjov;558538.0024;1133927.0024
41404;Pøerov;534264.9989;1138207.0016
17125;Hranice;512820.302299999;1129876.8483
29490;Šumperk;563083.9976;1078299.9918
14043;Zábøeh;571060.996800002;1086716.9947
10897;Domažlice;859612.054299999;1098460.2062
11146;Sušice;820730.409000002;1127998.1503
22288;Klatovy;834310.4848;1107525.1495
14074;Rokycany;807013.995999999;1072520.9963
12156;Tachov;874556.5781;1056101.0922
11594;Vlašim;714451.999699999;1089562.9973
16522;Benešov;728485.9998;1079254.9937
19439;Beroun;769396.7476;1053153.4358
15613;Slaný;764266.263;1023926.2109
66903;Kladno;764453.109499998;1033206.2381
32046;Kolín;688303.557;1056796.2124
10397;Èáslav;676405.822099999;1071516.3957
20536;Kutná Hora;684661.002;1066251.9964
19351;Mìlník;735020.327500001;1014374.6527
18100;Kralupy nad Vltavou;748192.041099999;1024902.8185
41868;Mladá Boleslav;703949.000999998;1011855.0017
14142;Podìbrady;692519.054299999;1043463.075
13965;Nymburk;697389.901700001;1037978.0325
12273;Èelákovice;718421.191599999;1038085.5245
15227;Brandýs nad Labem-Stará Boleslav;723991.688200001;1033922.8405
31651;Pøíbram;778190.998300001;1082666.9993
16695;Rakovník;791277.998199999;1034261.9951
25211;Krnov;509421.757100001;1069679.6044
17453;Bruntál;527519.3037;1079287.6977
53899;Frýdek-Místek;467299.996800002;1118579.9956
22347;Èeský Tìšín;446777.998199999;1113502.998
28206;Orlová;459872.122299999;1101312.8887
49881;Karviná;451858.9976;1101048.9962
69084;Havíøov;460058.998;1108644.9932
18914;Bohumín;464592.956500001;1094417.0222
20644;Nový Jièín;492503.247099999;1126514.8933
21160;Kopøivnice;482745.690499999;1126928.4609
10850;Frenštát pod Radhoštìm;478452.070500001;1133051.1528
54840;Opava;496806.522700001;1087708.7632
13988;Hluèín;476860.231800001;1094189.0654
279791;Ostrava;470650.001400001;1101630.0
10679;Boskovice;590905.956099998;1128797.8181
17920;Blansko;593530.212200001;1142401.5374
379466;Brno;597954.110300001;1161095.954
10981;Kuøim;602460.998300001;1148688.9985
19502;Bøeclav;583388.383299999;1211046.7259
10410;Veselí nad Moravou;544875.2051;1193183.7459
11774;Kyjov;562938.998100001;1185086.9921
13758;Vyškov;568849.987199999;1154596.7714
33370;Znojmo;642990.030000001;1193746.3856
1275406;Praha;742809.702799998;1043012.8395
21737;Uherské Hradištì;537288.067000002;1181182.5549
15865;Neratovice;733396.212000001;1024950.2158
27361;Hodonín;564593.057700001;1202137.6807
14174;Turnov;683597.583900001;994781.664500002
